Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                   1",5.023254912705e-01,-1.093059737512e+00,-2.454332319876e-02,-1.068516414313e+00,5.219865455571e-01
"                   2",7.028373189000e-01,-1.886950727230e+00,-1.300888520302e-01,-1.756861875200e+00,8.133865115848e-01
"                   3",4.511544926242e-01,-1.681258955368e+00,-2.318282951416e-01,-1.449430660226e+00,6.088011825424e-01
"                   4",1.003720624615e-01,-1.020429506349e+00,-2.659110409952e-01,-7.545184653538e-01,2.443037121793e-01
"                   5",2.443965681028e-02,-6.975689680174e-01,-2.314989014368e-01,-4.660700665806e-01,1.172855825719e-01
"                   6",2.549961776637e-01,-9.633868715063e-01,-1.836348731262e-01,-7.797519983801e-01,2.980585626270e-01
"                   7",5.490338334317e-01,-1.491070974981e+00,-1.804873029015e-01,-1.310583672079e+00,5.650481845888e-01
"                   8",6.701150108219e-01,-1.828961421825e+00,-2.286260334096e-01,-1.600335388416e+00,6.858546775031e-01
"                   9",5.792630616154e-01,-1.803024769346e+00,-2.928418787149e-01,-1.510182890632e+00,6.086705059583e-01
"                  10",4.198702683758e-01,-1.572169416396e+00,-3.285551314181e-01,-1.243614284978e+00,4.575295767801e-01
"                  11",3.407861333957e-01,-1.396943034096e+00,-3.264956556277e-01,-1.070447378468e+00,3.719758614202e-01
"                  12",3.737618554095e-01,-1.402902866211e+00,-3.132870420212e-01,-1.089615824190e+00,3.881643910842e-01
"                  13",4.425952484454e-01,-1.519685865070e+00,-3.184026790694e-01,-1.201283186001e+00,4.414402534656e-01
"                  14",4.643917939134e-01,-1.616012350511e+00,-3.494754998578e-01,-1.266536850653e+00,4.585306753975e-01
"                  15",4.301289819279e-01,-1.637607282830e+00,-3.880658720749e-01,-1.249541410755e+00,4.307377693400e-01
"                  16",3.863535647373e-01,-1.612387203632e+00,-4.103262366123e-01,-1.202060967020e+00,3.958673652038e-01
"                  17",3.693111442970e-01,-1.590091745066e+00,-4.120626884493e-01,-1.178029056617e+00,3.829831840837e-01
"                  18",3.799102382746e-01,-1.599988580643e+00,-4.086320590674e-01,-1.191356521576e+00,3.913622312541e-01
"                  19",3.967629213495e-01,-1.635626994613e+00,-4.137842667381e-01,-1.221842727875e+00,4.040292305686e-01
"                  20",4.020593232781e-01,-1.673095876099e+00,-4.288357895729e-01,-1.244260086526e+00,4.077121484764e-01
"                  21",3.962464770871e-01,-1.697876098243e+00,-4.459099587492e-01,-1.251966139493e+00,4.030280903720e-01
"                  22",3.886852174489e-01,-1.709744807818e+00,-4.574685778513e-01,-1.252276229967e+00,3.974038260578e-01
"                  23",3.863677170896e-01,-1.717569343567e+00,-4.623444176636e-01,-1.255224925903e+00,3.964402541199e-01
"                  24",3.889568291958e-01,-1.730246549192e+00,-4.652625573981e-01,-1.264983991794e+00,3.998607171981e-01
"                  25",3.924261597682e-01,-1.748179836567e+00,-4.701459753919e-01,-1.278033861176e+00,4.039439428918e-01
"                  26",3.939588203416e-01,-1.768536842237e+00,-4.780000281367e-01,-1.290536814100e+00,4.062683929815e-01
"                  27",3.935466182582e-01,-1.787102014907e+00,-4.869727467300e-01,-1.300129268177e+00,4.065782607237e-01
"                  28",3.915191379658e-01,-1.800519091690e+00,-4.951682983085e-01,-1.305350793381e+00,4.050912475363e-01
"                  29",3.904407295744e-01,-1.811613781850e+00,-5.013432052019e-01,-1.310270576648e+00,4.044636857229e-01
"                  30",3.913789649082e-01,-1.822825665173e+00,-5.058048591048e-01,-1.317020806068e+00,4.056079734818e-01
"                  31",3.926685585227e-01,-1.834171567519e+00,-5.098946281240e-01,-1.324276939395e+00,4.071911556354e-01
"                  32",3.930442493834e-01,-1.844761456832e+00,-5.144077883466e-01,-1.330353668486e+00,4.079729400695e-01
"                  33",3.924769574313e-01,-1.854614450238e+00,-5.194251093212e-01,-1.335189340917e+00,4.078821157979e-01
"                  34",3.913199573769e-01,-1.863652589671e+00,-5.247375568534e-01,-1.338915032817e+00,4.070887379819e-01
"                  35",3.901277607406e-01,-1.871562223754e+00,-5.297390973503e-01,-1.341823126404e+00,4.060420145266e-01
"                  36",3.891919452473e-01,-1.878650164204e+00,-5.342201006288e-01,-1.344430063576e+00,4.051049814734e-01
"                  37",3.887926658494e-01,-1.884832929150e+00,-5.378135177721e-01,-1.347019411378e+00,4.046029468030e-01
"                  38",3.887773147383e-01,-1.891021133685e+00,-5.410283534873e-01,-1.349992780198e+00,4.044822133553e-01
"                  39",3.885090797784e-01,-1.896932985153e+00,-5.442966534894e-01,-1.352636331664e+00,4.041698390874e-01
"                  40",3.876712075135e-01,-1.902626486987e+00,-5.479649440676e-01,-1.354661542919e+00,4.033482994258e-01
"                  41",3.863927345458e-01,-1.907792273571e+00,-5.518188055256e-01,-1.355973468045e+00,4.020773312598e-01
"                  42",3.852645240235e-01,-1.912439695037e+00,-5.553828647346e-01,-1.357056830302e+00,4.008369827837e-01
"                  43",3.848286888645e-01,-1.916972904758e+00,-5.583669105427e-01,-1.358605994215e+00,4.001195418362e-01
"                  44",3.847844014494e-01,-1.921411179804e+00,-5.609872136147e-01,-1.360423966190e+00,3.997183762874e-01
"                  45",3.844977561567e-01,-1.925373689522e+00,-5.636062367422e-01,-1.361767452780e+00,3.990806080189e-01
"                  46",3.837092860383e-01,-1.928549123711e+00,-5.663108352283e-01,-1.362238288482e+00,3.979637266271e-01
"                  47",3.825944006717e-01,-1.931056667433e+00,-5.690217992442e-01,-1.362034868189e+00,3.965065344724e-01
"                  48",3.815953595557e-01,-1.932926215544e+00,-5.713895346139e-01,-1.361536680930e+00,3.950735731582e-01
"                  49",3.809340364345e-01,-1.934224741831e+00,-5.732279486317e-01,-1.360996793199e+00,3.938844222837e-01
"                  50",3.804718059426e-01,-1.935074689871e+00,-5.746639296653e-01,-1.360410760206e+00,3.928734152702e-01
"                  51",3.799978326569e-01,-1.935714637900e+00,-5.759656465780e-01,-1.359748991322e+00,3.918916723722e-01
"                  52",3.793583259995e-01,-1.936015211000e+00,-5.771786077503e-01,-1.358836603249e+00,3.908289977496e-01
"                  53",3.785936190311e-01,-1.935996302222e+00,-5.782999272743e-01,-1.357696374948e+00,3.896982238368e-01
"                  54",3.777941599167e-01,-1.935467967751e+00,-5.792326636784e-01,-1.356235304073e+00,3.885013201973e-01
"                  55",3.770413512010e-01,-1.934317030896e+00,-5.798908619569e-01,-1.354426168939e+00,3.872676534912e-01
"                  56",3.763974813281e-01,-1.932754271231e+00,-5.802879009238e-01,-1.352466370307e+00,3.860892346918e-01
