Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                   1",-5.921834752587e+01,2.714407634538e+01,3.812000827260e+01,-5.918408929567e+01,2.784427315246e+01,3.816660287510e+01,3.425823019301e-02,7.001968070864e-01,4.659460249850e-02
"                   2",-1.018232048564e+02,3.845596201762e+01,5.946685628235e+01,-1.017423166671e+02,3.915518004546e+01,5.947318036424e+01,8.088818932728e-02,6.992180278352e-01,6.324081889837e-03
"                   3",-9.033245463390e+01,2.489273237628e+01,4.452044862645e+01,-9.024232697617e+01,2.557191691964e+01,4.451431394499e+01,9.012765772485e-02,6.791845433608e-01,-6.134681462685e-03
"                   4",-5.490470281843e+01,5.923102106697e+00,1.787572205967e+01,-5.481109652408e+01,6.585563089292e+00,1.786299444502e+01,9.360629435139e-02,6.624609825943e-01,-1.272761464820e-02
"                   5",-3.810709271008e+01,2.058095183073e+00,8.588358789198e+00,-3.801500358936e+01,2.712397811334e+00,8.575685122724e+00,9.208912072204e-02,6.543026282608e-01,-1.267366647414e-02
"                   6",-5.266898857561e+01,1.498404143228e+01,2.180223004332e+01,-5.258121645722e+01,1.563591862878e+01,2.179344063584e+01,8.777211839850e-02,6.518771965062e-01,-8.789407475831e-03
"                   7",-8.051001556087e+01,3.131570803784e+01,4.132121196190e+01,-8.042523526905e+01,3.197213718686e+01,4.131518302542e+01,8.478029181750e-02,6.564291490264e-01,-6.028936485366e-03
"                   8",-9.760630449424e+01,3.808519782859e+01,5.015565129935e+01,-9.752196561709e+01,3.874012297846e+01,5.014831000740e+01,8.433887714803e-02,6.549251498637e-01,-7.341291947945e-03
"                   9",-9.523995252339e+01,3.316405332927e+01,4.451384646007e+01,-9.515551978620e+01,3.380591509861e+01,4.450475913686e+01,8.443273719547e-02,6.418617693404e-01,-9.087323211563e-03
"                  10",-8.241719231978e+01,2.446708453478e+01,3.346521445718e+01,-8.233159633690e+01,2.509877825829e+01,3.345363938824e+01,8.559598288144e-02,6.316937235093e-01,-1.157506894695e-02
"                  11",-7.301784722108e+01,2.021228723003e+01,2.721114107744e+01,-7.293146285557e+01,2.084476430725e+01,2.719812436314e+01,8.638436551864e-02,6.324770772218e-01,-1.301671429285e-02
"                  12",-7.326468916010e+01,2.212476381256e+01,2.839543900857e+01,-7.317747371058e+01,2.276207249175e+01,2.838179698474e+01,8.721544951471e-02,6.373086791902e-01,-1.364202382979e-02
"                  13",-7.897909905384e+01,2.594119205647e+01,3.229037771141e+01,-7.889209807577e+01,2.658144858637e+01,3.227722053472e+01,8.700097806455e-02,6.402565298972e-01,-1.315717668443e-02
"                  14",-8.321572962304e+01,2.706246734143e+01,3.354018621091e+01,-8.312873630953e+01,2.770183872538e+01,3.352683769899e+01,8.699331350958e-02,6.393713839502e-01,-1.334851192314e-02
"                  15",-8.356833468894e+01,2.505080409294e+01,3.150899419654e+01,-8.348068738597e+01,2.569119566698e+01,3.149467649240e+01,8.764730296889e-02,6.403915740382e-01,-1.431770413526e-02
"                  16",-8.194166049121e+01,2.258491551263e+01,2.896105710653e+01,-8.185295172195e+01,2.322495332746e+01,2.894502290824e+01,8.870876926092e-02,6.400378148268e-01,-1.603419828959e-02
