Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",-6.509079174221e+01,-1.453858572896e+02,2.135285934682e+00,-6.678004774625e+01,-1.453133132382e+02,2.132900754467e+00,-1.689256004036e+00,7.254405138026e-02,-2.385180215659e-03
"                   2",-9.174387915545e+01,-2.510395024233e+02,4.260176216342e+00,-9.343644813899e+01,-2.508545989584e+02,4.254539325139e+00,-1.692568983539e+00,1.849034649348e-01,-5.636891202414e-03
"                   3",-5.832745353948e+01,-2.237172409046e+02,3.917464190808e+00,-5.997728381687e+01,-2.235095675303e+02,3.909203710364e+00,-1.649830277390e+00,2.076733743258e-01,-8.260480444057e-03
"                   4",-1.172924108248e+01,-1.358730107371e+02,2.272977752720e+00,-1.334364120486e+01,-1.356577206212e+02,2.263303631271e+00,-1.614400122382e+00,2.152901159732e-01,-9.674121449647e-03
"                   5",-1.652365304167e+00,-9.294543943666e+01,1.694418945102e+00,-3.249051615049e+00,-9.273606416565e+01,1.685357344878e+00,-1.596686310882e+00,2.093752710034e-01,-9.061600224566e-03
"                   6",-3.230566457261e+01,-1.282726162179e+02,3.125653877632e+00,-3.389964717185e+01,-1.280743708916e+02,3.116725585813e+00,-1.593982599233e+00,1.982453262399e-01,-8.928291818922e-03
"                   7",-7.138868580655e+01,-1.984150446919e+02,5.464227127202e+00,-7.298953815412e+01,-1.982256378238e+02,5.455472302526e+00,-1.600852347574e+00,1.894068680763e-01,-8.754824676840e-03
"                   8",-8.749040404259e+01,-2.433330180772e+02,6.982199677435e+00,-8.908628607515e+01,-2.431453971540e+02,6.971361813938e+00,-1.595882032557e+00,1.876209231793e-01,-1.083786349668e-02
"                   9",-7.543394761259e+01,-2.398866708341e+02,6.956138035401e+00,-7.700826572523e+01,-2.396973322618e+02,6.945930561940e+00,-1.574318112641e+00,1.893385722763e-01,-1.020747346056e-02
"                  10",-5.425937047839e+01,-2.091991773271e+02,6.077911170935e+00,-5.581830318514e+01,-2.090070094325e+02,6.068299448706e+00,-1.558932706756e+00,1.921678946145e-01,-9.611722228646e-03
